    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
    163.000    13.3869    13.3633    38.5430    29.0647    3.71742    161.297     1.0970     0.1315     4.5229    91.4974     0.0888
    164.000    13.3869    13.3633    38.5433    29.0651    3.71691    161.274     1.0922     0.1299     4.5230    91.4977     0.0888
    165.000    13.3869    13.3633    38.5436    29.0652    3.71157    161.043     1.0922     0.1299     4.5230    91.4977     0.0888
    166.000    13.3877    13.3637    38.5444    29.0657    3.71051    160.997     1.0904     0.1293     4.5230    91.4977     0.0888
    167.000    13.3898    13.3656    38.5451    29.0658    3.70867    160.917     1.0904     0.1293     4.5227    91.4921     0.0889
    168.000    13.3933    13.3690    38.5469    29.0665    3.70759    160.870     1.0904     0.1293     4.5224    91.4852     0.0890
    169.000    13.3939    13.3694    38.5471    29.0666    3.70464    160.741     1.0953     0.1310     4.5218    91.4741     0.0891
    170.000    13.3953    13.3707    38.5476    29.0666    3.70417    160.721     1.0953     0.1310     4.5213    91.4629     0.0892
    171.000    13.3959    13.3710    38.5477    29.0667    3.70303    160.671     1.0975     0.1317     4.5212    91.4614     0.0892
    172.000    13.3962    13.3714    38.5478    29.0667    3.70219    160.635     1.0975     0.1317     4.5211    91.4590     0.0893
    173.000    13.3967    13.3716    38.5478    29.0668    3.69951    160.519     1.0975     0.1317     4.5208    91.4543     0.0893
    174.000    13.3983    13.3730    38.5489    29.0672    3.69807    160.456     1.0961     0.1312     4.5208    91.4537     0.0893
    175.000    13.3984    13.3731    38.5489    29.0672    3.69500    160.323     1.0962     0.1313     4.5208    91.4537     0.0893
    176.000    13.3992    13.3737    38.5496    29.0676    3.68833    160.033     1.0962     0.1313     4.5208    91.4537     0.0893
    177.000    13.4095    13.3838    38.5539    29.0688    3.68088    159.710     1.0962     0.1313     4.5212    91.4623     0.0892
    178.000    13.4156    13.3898    38.5562    29.0693    3.67384    159.404     1.0962     0.1313     4.5217    91.4708     0.0891
    179.000    13.4171    13.3911    38.5565    29.0693    3.66591    159.060     1.1013     0.1330     4.5220    91.4775     0.0891
    180.000    13.4190    13.3929    38.5573    29.0695    3.65950    158.782     1.1013     0.1330     4.5221    91.4796     0.0890
    181.000    13.4246    13.3983    38.5595    29.0701    3.65294    158.496     1.0998     0.1325     4.5221    91.4796     0.0890
    182.000    13.4274    13.4010    38.5612    29.0708    3.64515    158.158     1.0998     0.1325     4.5223    91.4836     0.0890
    183.000    13.4289    13.4023    38.5620    29.0712    3.64228    158.034     1.0966     0.1314     4.5225    91.4878     0.0889
