  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
     155)        155       0.061        0.72       217.4        0.02       98.51      98.480      21.933      158.00      36.863      25.655      21.959        0.00 
     156)        156       0.061        0.69       217.6        0.02       98.58      98.480      21.936      159.00      36.864      25.655      21.962        0.00 
     157)        157       0.061        0.71       217.7        0.01       98.63      98.480      21.936      160.00      36.865      25.655      21.963        0.00 
     158)        158       0.060        0.72       217.3        0.01       98.47      98.500      21.936      161.00      36.865      25.655      21.963        0.00 
     159)        159       0.060        0.72       217.4        0.01       98.50      98.520      21.937      162.00      36.865      25.655      21.964        0.00 
     160)        160       0.060        0.71       217.3        0.01       98.45      98.500      21.937      163.00      36.865      25.655      21.964        0.00 
     161)        161       0.060        0.69       216.7        0.01       98.19      98.510      21.937      164.00      36.865      25.655      21.964        0.00 
     162)        162       0.060        0.71       216.8        0.01       98.23      98.510      21.936      165.00      36.865      25.655      21.964        0.00 
     163)        163       0.060        0.72       217.1        0.01       98.39      98.500      21.936      166.00      36.865      25.655      21.964        0.00 
     164)        164       0.059        0.70       217.1        0.01       98.37      98.530      21.937      167.00      36.865      25.655      21.965        0.00 
     165)        165       0.059        0.68       217.0        0.01       98.35      98.540      21.938      168.00      36.865      25.655      21.966        0.00 
     166)        166       0.060        0.69       215.7        0.01       97.76      98.530      21.937      169.00      36.865      25.655      21.965        0.00 
     167)        167       0.059        0.68       215.2        0.01       97.12      98.550      21.733      170.00      36.817      25.676      21.761        0.00 
     168)        168       0.056        0.64       215.4        0.01       96.94      98.600      21.577      171.00      36.782      25.693      21.606        0.00 
     169)        169       0.056        0.61       216.2        0.01       97.24      98.610      21.550      172.00      36.779      25.698      21.579        0.00 
     170)        170       0.056        0.54       215.5        0.01       97.53      98.620      21.861      173.00      36.849      25.664      21.890        0.00 
     171)        171       0.055        0.50       211.7        0.01       94.68      98.640      21.245      174.00      36.702      25.724      21.274        0.00 
     172)        172       0.055        0.46       212.2        0.01       94.25      98.640      20.896      175.00      36.639      25.772      20.925        0.00 
     173)        173       0.054        0.45       212.2        0.01       94.09      98.650      20.794      176.00      36.616      25.782      20.823        0.00 
     174)        174       0.054        0.45       212.7        0.01       94.07      98.660      20.679      177.00      36.591      25.795      20.708        0.00 
     175)        175       0.054        0.45       214.0        0.01       95.33      98.660      21.039      178.00      36.672      25.758      21.068        0.00 
     176)        176       0.055        0.46       210.4        0.01       93.65      98.630      20.987      179.00      36.658      25.762      21.017        0.00 
     177)        177       0.054        0.44       209.9        0.01       92.53      98.660      20.508      180.00      36.552      25.811      20.537        0.00 
     178)        178       0.054        0.43       210.1        0.01       92.21      98.660      20.286      181.00      36.498      25.830      20.315        0.00 
     179)        179       0.054        0.43       211.5        0.01       92.49      98.660      20.103      182.00      36.453      25.845      20.132        0.00 
     180)        180       0.053        0.41       212.8        0.01       93.57      98.680      20.364      183.00      36.527      25.831      20.394        0.00 
     181)        181       0.054        0.42       209.7        0.01       92.20      98.660      20.375      184.00      36.508      25.814      20.405        0.00 
     182)        182       0.053        0.39       210.0        0.00       91.39      98.680      19.836      185.00      36.434      25.901      19.866        0.00 
     183)        183       0.053        0.37       208.1        0.00       90.13      98.690      19.597      186.00      36.348      25.898      19.626        0.00 
     184)        184       0.053        0.38       209.0        0.00       89.90      98.690      19.243      187.00      36.278      25.937      19.272        0.00 
     185)        185       0.052        0.39       208.8        0.00       89.67      98.710      19.165      188.00      36.257      25.941      19.194        0.00 
     186)        186       0.052        0.40       209.0        0.00       89.57      98.710      19.068      189.00      36.241      25.954      19.098        0.00 
     187)        187       0.052        0.36       208.4        0.00       89.05      98.720      18.912      190.00      36.210      25.970      18.942        0.00 
     188)        188       0.052        0.34       208.4        0.00       88.84      98.720      18.782      191.00      36.190      25.988      18.812        0.00 
     189)        189       0.052        0.34       208.1        0.00       88.70      98.720      18.769      192.00      36.187      25.989      18.799        0.00 
     190)        190       0.052        0.32       208.0        0.00       88.60      98.710      18.735      193.00      36.179      25.992      18.765        0.00 
     191)        191       0.051        0.35       207.9        0.00       88.39      98.740      18.654      194.00      36.160      25.998      18.684        0.00 
     192)        192       0.051        0.34       208.4        0.00       88.63      98.740      18.674      195.00      36.168      25.999      18.704        0.00 
     193)        193       0.051        0.32       207.6        0.00       88.17      98.730      18.612      196.00      36.151      26.002      18.642        0.00 
     194)        194       0.051        0.32       207.5        0.00       88.02      98.740      18.546      197.00      36.136      26.007      18.576        0.00 
     195)        195       0.050        0.32       207.7        0.00       88.05      98.760      18.509      198.00      36.127      26.009      18.540        0.00 
     196)        196       0.050        0.28       207.3        0.00       87.80      98.760      18.468      199.00      36.117      26.011      18.499        0.00 
     197)        197       0.049        0.24       206.8        0.00       87.35      98.780      18.331      200.00      36.086      26.022      18.362        0.00 
     198)        198       0.049        0.20       207.0        0.00       87.18      98.790      18.181      201.00      36.058      26.038      18.212        0.00 
     199)        199       0.048        0.17       206.8        0.00       86.89      98.810      18.062      202.00      36.035      26.050      18.093        0.00 
     200)        200       0.048        0.20       206.5        0.00       86.68      98.810      18.000      203.00      36.020      26.054      18.031        0.00 
     201)        201       0.047        0.22       206.8        0.00       86.68      98.820      17.943      204.00      36.007      26.058      17.974        0.00 
     202)        202       0.047        0.22       206.6        0.00       86.55      98.820      17.915      205.00      36.000      26.060      17.946        0.00 
     203)        203       0.047        0.21       206.2        0.00       86.30      98.820      17.863      206.00      35.988      26.064      17.894        0.00 
     204)        204       0.047        0.20       206.4        0.00       86.27      98.820      17.790      207.00      35.974      26.071      17.821        0.00 
     205)        205       0.047        0.18       206.6        0.00       86.32      98.840      17.771      208.00      35.971      26.073      17.802        0.00 
     206)        206       0.047        0.17       206.1        0.00       86.03      98.840      17.744      209.00      35.964      26.075      17.776        0.00 
     207)        207       0.046        0.19       205.6        0.00       85.68      98.840      17.643      210.00      35.942      26.082      17.675        0.00 
     208)        208       0.045        0.16       205.2        0.00       85.28      98.870      17.517      211.00      35.914      26.092      17.549        0.00 
     209)        209       0.045        0.16       205.6        0.00       85.25      98.870      17.398      212.00      35.892      26.104      17.430        0.00 
     210)        210       0.045        0.16       205.4        0.00       85.12      98.870      17.380      213.00      35.887      26.104      17.412        0.00 
     211)        211       0.045        0.14       205.3        0.00       84.97      98.870      17.319      214.00      35.874      26.109      17.351        0.00 
     212)        212       0.045        0.12       205.2        0.00       84.90      98.880      17.288      215.00      35.869      26.113      17.320        0.00 
     213)        213       0.045        0.14       205.0        0.00       84.74      98.900      17.263      216.00      35.865      26.116      17.295        0.00 
     214)        214       0.045        0.15       204.6        0.00       84.53      98.900      17.235      217.00      35.859      26.118      17.267        0.00 
     215)        215       0.044        0.13       204.4        0.00       84.23      98.910      17.093      218.00      35.831      26.131      17.125        0.00 
     216)        216       0.043        0.15       204.2        0.00       83.89      98.920      16.937      219.00      35.803      26.147      16.969        0.00 
     217)        217       0.043        0.16       204.2        0.00       83.74      98.920      16.864      220.00      35.791      26.155      16.896        0.00 
     218)        218       0.043        0.15       204.2        0.00       83.68      98.920      16.815      221.00      35.782      26.160      16.847        0.00 
     219)        219       0.043        0.12       204.3        0.00       83.59      98.920      16.751      222.00      35.771      26.166      16.784        0.00 
